4/3/2013 :      Day Change: $772.36     Total Net: $-1381.48  Total Invested: -	  Avg_gain: 23.74
4/4/2013 :      Day Change: $-125.58    Total Net: $-1507.06  Total Invested: -	  Avg_gain: 22.49
4/5/2013 :      Day Change: $-146.44    Total Net: $-1653.50  Total Invested: -	  Avg_gain: 21.10
4/8/2013 :      Day Change: $591.30     Total Net: $-1062.20  Total Invested: -	  Avg_gain: 25.35
4/9/2013 :      Day Change: $360.31     Total Net: $-701.89   Total Invested: -	  Avg_gain: 28.03
4/9/2013 :      Day Change: $0.00       Total Net: $-701.89   Total Invested: -	  Avg_gain: 28.03
4/10/2013 :     Day Change: $272.94     Total Net: $-428.95   Total Invested: -	  Avg_gain: 29.98
4/11/2013 :     Day Change: $76.57      Total Net: $-352.38   Total Invested: -	  Avg_gain: 30.34
4/12/2013 :     Day Change: $-418.21    Total Net: $-770.59   Total Invested: -	  Avg_gain: 26.84
4/15/2013 :     Day Change: $-405.07    Total Net: $-1175.66  Total Invested: -	  Avg_gain: 23.13
4/16/2013 :     Day Change: $311.63     Total Net: $-864.03   Total Invested: -	  Avg_gain: 25.32
4/17/2013 :     Day Change: $-1109.08   Total Net: $-1973.11  Total Invested: -	  Avg_gain: 16.79
4/18/2013 :     Day Change: $-418.69    Total Net: $-2391.80  Total Invested: -	  Avg_gain: 13.54
4/19/2013 :     Day Change: $-177.44    Total Net: $-2569.24  Total Invested: -	  Avg_gain: 12.12
4/22/2013 :     Day Change: $449.44     Total Net: $-2119.80  Total Invested: -	  Avg_gain: 15.12
4/23/2013 :     Day Change: $945.15     Total Net: $-1174.65  Total Invested: -	  Avg_gain: 21.81
4/24/2013 :     Day Change: $455.56     Total Net: $-719.09   Total Invested: -	  Avg_gain: 24.91
4/25/2013 :     Day Change: $443.26     Total Net: $-275.83   Total Invested: -	  Avg_gain: 27.87
4/26/2013 :     Day Change: $-87.19     Total Net: $-363.02   Total Invested: -	  Avg_gain: 27.06
4/29/2013 :     Day Change: $516.75     Total Net: $153.73    Total Invested: -	  Avg_gain: 30.07
4/30/2013 :     Day Change: $169.07     Total Net: $322.80    Total Invested: -	  Avg_gain: 31.02
5/1/2013 :      Day Change: $-193.19    Total Net: $129.61    Total Invested: -	  Avg_gain: 29.49
5/2/2013 :      Day Change: $-417.74    Total Net: $-288.13   Total Invested: -	  Avg_gain: 26.47
5/3/2013 :      Day Change: $155.81     Total Net: $-132.32   Total Invested: -	  Avg_gain: 27.34
5/6/2013 :      Day Change: $385.94     Total Net: $253.62    Total Invested: -	  Avg_gain: 29.34
5/7/2013 :      Day Change: $175.44     Total Net: $429.06    Total Invested: -	  Avg_gain: 30.29
5/8/2013 :      Day Change: $211.88     Total Net: $640.94    Total Invested: -	  Avg_gain: 31.47
5/10/2013 :     Day Change: $-74.62     Total Net: $566.32    Total Invested: -	  Avg_gain: 30.59
5/13/2013 :     Day Change: $-85.94     Total Net: $480.38    Total Invested: -	  Avg_gain: 29.47
5/14/2013 :     Day Change: $-195.26    Total Net: $285.12    Total Invested: -	  Avg_gain: 28.07
5/15/2013 :     Day Change: $22.07      Total Net: $307.19    Total Invested: -	  Avg_gain: 28.03
5/16/2013 :     Day Change: $-60.63     Total Net: $246.56    Total Invested: -	  Avg_gain: 27.49
5/17/2013 :     Day Change: $446.01     Total Net: $589.72    Total Invested: -	  Avg_gain: 29.42
5/20/2013 :     Day Change: $332.92     Total Net: $922.64    Total Invested: -	  Avg_gain: 30.90
5/21/2013 :     Day Change: $214.50     Total Net: $1137.14   Total Invested: -	  Avg_gain: 32.00
5/22/2013 :     Day Change: $-774.44    Total Net: $362.70    Total Invested: -	  Avg_gain: 27.19
5/23/2013 :     Day Change: $-32.52     Total Net: $330.18    Total Invested: -	  Avg_gain: 26.84
5/24/2013 :     Day Change: $-313.81    Total Net: $16.37     Total Invested: -	  Avg_gain: 24.84
5/28/2013 :     Day Change: $129.87     Total Net: $146.24    Total Invested: -	  Avg_gain: 25.01
5/29/2013 :     Day Change: $-81.14     Total Net: $65.10     Total Invested: -	  Avg_gain: 24.41
5/30/2013 :     Day Change: $170.95     Total Net: $236.05    Total Invested: -	  Avg_gain: 25.24
5/31/2013 : 	Day Change: $-229.16	Total Net: $6.89      Total Invested: -	  Avg_gain: 23.80
6/3/2013 : 		Day Change: $775.69	    Total Net: $782.58    Total Invested: -	  Avg_gain: 27.71
6/4/2013 :  	Day Change: $523.26		Total Net: $1305.84   Total Invested: -	  Avg_gain: 30.45
6/5/2013 :  	Day Change: $-488.73	Total Net: $817.11    Total Invested: $22147.47  Avg_gain: 27.60
6/6/2013 :  	Day Change: $-55.65		Total Net: $761.46    Total Invested: $22091.82  Avg_gain: 27.14
6/10/2013 : 	Day Change: $-57.43		Total Net: $704.03	  Total Invested: $27441.34  Avg_gain: 26.26
6/11/2013 : 	Day Change: $-483.47	Total Net: $220.56	  Total Invested: $27467.87  Avg_gain: 23.55
6/12/2013 : 	Day Change: $-144.00	Total Net: $76.56	  Total Invested: $27323.87  Avg_gain: 22.66
6/13/2013 : 	Day Change: $660.88		Total Net: $737.44	Total Invested: $27984.75  Avg_gain: 26.02
6/17/2013 : 	Day Change: $140.29		Total Net: $877.73	Total Invested: $27254.49  Avg_gain: 26.21
6/18/2013 : 	Day Change: $-10.19		Total Net: $867.54	Total Invested: $27644.30  Avg_gain: 26.02
6/19/2013 : 	Day Change: $-347.03	Total Net: $520.51	Total Invested: $27297.27  Avg_gain: 24.12
6/20/2013 : 	Day Change: $-885.62	Total Net: $-365.11	Total Invested: $26411.65  Avg_gain: 19.50
6/21/2013 : 	Day Change: $209.04		Total Net: $-156.07	Total Invested: $24027.64  Avg_gain: 20.45
6/24/2013 : 	Day Change: $-549.98	Total Net: $-706.05	Total Invested: $23477.66  Avg_gain: 17.41
6/25/2013 : 	Day Change: $249.80		Total Net: $-456.25	Total Invested: $23727.46  Avg_gain: 18.56
6/26/2013 :		Day Change: $219.19		Total Net: $-237.06	Total Invested: $24330.10  Avg_gain: 19.55
6/27/2013 : 	Day Change: $466.84		Total Net: $229.78	Total Invested: $24790.44  Avg_gain: 21.74
6/28/2013 : 	Day Change: $-257.05	Total Net: $-27.27	Total Invested: $24533.39  Avg_gain: 20.38
7/1/2013 : 		Day Change: $-75.61		Total Net: $-102.88	Total Invested: $26984.73  Avg_gain: 19.73
7/2/2013 : 		Day Change: $243.59		Total Net: $140.71	Total Invested: $27628.34  Avg_gain: 20.80
7/3/2013 : 		Day Change: $734.02		Total Net: $874.73	Total Invested: $25321.29  Avg_gain: 24.19
7/5/2013 : 		Day Change: $276.46		Total Net: $1151.19	Total Invested: $25597.75  Avg_gain: 25.27
7/8/2013 : 		Day Change: $-465.84	Total Net: $685.35	Total Invested: $25131.91  Avg_gain: 22.75
7/9/2013 : 		Day Change: $-92.56		Total Net: $592.79	Total Invested: $27571.30  Avg_gain: 22.22
7/10/2013 : 	Day Change: $120.61		Total Net: $713.40	Total Invested: $27691.91  Avg_gain: 22.67
7/11/2013 : 	Day Change: $249.95		Total Net: $963.35	Total Invested: $27941.86  Avg_gain: 23.71
7/12/2013 : 	Day Change: $156.84		Total Net: $1120.19	Total Invested: $28098.70  Avg_gain: 24.32
7/15/2013 : 	Day Change: $51.47		Total Net: $1171.66	Total Invested: $28150.17  Avg_gain: 24.22
7/16/2013 : 	Day Change: $51.43	 	Total Net: $1223.09	Total Invested: $28631.60  Avg_gain: 24.35
7/17/2013 : 	Day Change: $486.82		Total Net: $1709.91	Total Invested: $29118.42  Avg_gain: 26.41
7/18/2013 : 	Day Change: $136.45		Total Net: $1846.36	Total Invested: $29254.87  Avg_gain: 26.90  
7/19/2013 : 	Day Change: $223.06		Total Net: $2069.42	Total Invested: $29477.93  Avg_gain: 27.77 
7/22/2013 : 	Day Change: $404.12		Total Net: $2473.54	Total Invested: $29882.05	Avg_gain: 29.04
7/23/2013 : 	Day Change: $-1076.15	Total Net: $1397.39	Total Invested: $29740.53	Avg_gain: 24.36
7/24/2013 : 	Day Change: $-369.93	Total Net: $1027.46	Total Invested: $29370.60	Avg_gain: 22.66
7/25/2013 : 	Day Change: $-102.04	Total Net: $925.42	Total Invested: $29268.56	Avg_gain: 22.12
7/26/2013 : 	Day Change: $-139.97	Total Net: $785.45	Total Invested: $29128.60	Avg_gain: 21.42
